Serial Number,List Year,Date Recorded,Town,Address,Assessed Value,Sale Amount,Sales Ratio,Property Type,Residential Type,Non Use Code,Assessor Remarks,OPM remarks,Location
210104,2021,01/11/2022,Clinton,202 COW HILL RD,184800.00,365000.00,0.5063,Residential,Single Family,,,,POINT (-72.55063498 41.314765993)
211009,2021,07/14/2022,Hamden,49 PLEASANT DR,121520.00,140000.00,0.868,Residential,Single Family,25 - Other,,"LOW SALE - RESOLD 7/26/2022 $172,000 - SEE #211057",POINT (-72.947556988 41.354376018)
210116,2021,03/14/2022,Litchfield,20 REDER RD,210130.00,435000.00,0.483,Residential,Single Family,,,,POINT (-73.114290979 41.725943983)
210226,2021,12/03/2021,Hamden,25 CARMEL ST,179620.00,305000.00,0.5889,Residential,Single Family,,,,POINT (-72.896208024 41.393120988)
210804,2021,03/31/2022,Danbury,23 SCUPPO RD 1-12,91400.00,175000.00,0.5222,Residential,Condo,,F14067-1-12,,POINT (-73.483795027 41.391915)
21079,2021,07/26/2022,Goshen,1127 NORTH ST,7810.00,8125.00,0.961230769,Vacant Land,,17 - Two Towns,"Dwelling and majority of lot in Cornwall, 0.23ac in Goshen",,POINT (-73.267485661 41.899570336)
211395,2021,04/18/2022,Bridgeport,5 MARTHA PLACE,182390.00,390000.00,0.4676,Residential,Single Family,,,,POINT (-73.226357025 41.210139013)
210196,2021,04/18/2022,Cromwell,45 WOODBRIDGE LANE UNIT 17B,129990.00,173000.00,0.7513,Residential,Condo,,,,POINT (-72.688411005 41.606111015)
210048,2021,12/27/2021,Brooklyn,345 DAY ST,128400.00,385000.00,0.3335,Residential,Single Family,07 - Change in Property,,,POINT (-71.918957993 41.815931006)
210340,2021,01/03/2022,Hamden,355 DUNBAR HILL RD,156450.00,290000.00,0.5394,Residential,Single Family,,,,POINT (-72.95039904 41.36759101)
210456,2021,01/24/2022,New Britain,50 CONCORD ST,140980.00,324000.00,0.4351,Residential,Three Family,,,,POINT (-72.785335981 41.68017502)
210474,2021,07/01/2022,Branford,23 EAST MAIN ST,233800.00,510000.00,0.458431373,Residential,Three Family,,,,POINT (-72.808448995 41.285262993)
210798,2021,05/24/2022,Hamden,61 HOBSON AVE,121660.00,232000.00,0.5243,Residential,Single Family,,,,POINT (-72.920312031 41.364399014)
210570,2021,03/02/2022,New Britain,49 BELDEN ST,104650.00,200000.00,0.5232,Residential,Three Family,,,,POINT (-72.763574968 41.666567)
21079,2021,12/15/2021,Darien,35 HERMAN AVE,504420.00,720000.00,0.7005,Residential,Single Family,,,,POINT (-73.487659001 41.074469989)
210738,2021,01/14/2022,Bridgeport,735 RUTH ST,147000.00,203488.00,0.7224,Residential,Single Family,,,,POINT (-73.223503993 41.206676993)
210360,2021,05/05/2022,Glastonbury,359 CEDAR RIDGE DR,281500.00,540000.00,0.5212,Residential,Single Family,,,,POINT (-72.515787972 41.721954994)
210127,2021,11/16/2021,Middletown,1408 RANDOLPH RD,179920.00,355000.00,0.5068,Residential,Single Family,,,,POINT (-72.663788997 41.532715006)
210064,2021,12/01/2021,East Hampton,38 WEST HIGH ST,313840.00,500000.00,0.6276,Commercial,,,,,POINT (-72.510575015 41.579928003)
21024,2021,11/03/2021,East Haddam,87 MOTT LANE,139300.00,269000.00,0.5178,Residential,Single Family,,,,POINT (-72.416421013 41.514605988)
21101,2021,12/27/2021,Darien,5 OLD PARISH RD,1859130.00,3125000.00,0.5949,Residential,Single Family,,,,POINT (-73.484731034 41.080731983)
21000006,2021,12/28/2021,Colebrook,48 OLD COLEBROOK ROAD,186700.00,365000.00,0.5115,Residential,Single Family,,,,POINT (-73.087110982 41.969683986)
21232,2021,05/16/2022,Monroe,75 MAIN ST,830100.00,875000.00,0.9486,Commercial,,,,,POINT (-73.250269002 41.299445006)
21023,2021,10/19/2021,Darien,14 OUTLOOK DRIVE,1034110.00,1900000.00,0.5442,Residential,Single Family,,,,POINT (-73.492762993 41.057425011)
210021,2021,10/12/2021,Glastonbury,184 FAIRWAY XING,381000.00,635000.00,0.6,Residential,Single Family,,,,POINT (-72.523104033 41.732843002)
210048,2021,05/27/2022,Bethlehem,28 WHITE BIRCH LANE,160500.00,340000.00,0.472,Residential,Single Family,,,,POINT (-73.217020004 41.66183902)
210476,2021,12/02/2021,Bridgeport,551 GOLDENROD AVE,139510.00,270000.00,0.5167,Residential,Single Family,,,,POINT (-73.219567013 41.208992997)
210014,2021,10/06/2021,Killingly,169 SOAP ST,137270.00,320000.00,0.4289,Residential,Single Family,,,,POINT (-71.881576968 41.856577998)
210241,2021,07/12/2022,Ellington,20 MAPLEWOOD DR,226680.00,420000.00,0.5397,Residential,Single Family,,,,POINT (-72.465198996 41.94093498)
210299,2021,12/14/2021,Bristol,9 FREDERICK ST,95410.00,220000.00,0.4336,Residential,Two Family,,,,POINT (-72.906205036 41.676171991)
210509,2021,03/01/2022,Hamden,35 BARRACLOUGH AVE,143570.00,335000.00,0.4285,Residential,Two Family,,,,POINT (-72.924624017 41.343146992)
211142,2021,08/12/2022,Hamden,45 HOME PL,133630.00,315000.00,0.424222222,Residential,Single Family,07 - Change in Property,,TOTAL RENOVATION PER MLS - SEE PREVIOUS SALE #210563,POINT (-72.900856963 41.406409993)
210726,2021,02/02/2022,Middletown,325 CARRIAGE CROSSING,46880.00,98000.00,0.4783,Residential,Condo,,,,POINT (-72.709639617 41.585335061)
211756,2021,06/16/2022,Bridgeport,19 ALBERT SQUARE,7941540.00,113000.00,70.27911504,Commercial,,08 - Part Interest,COOP (SEASIDE VILLAGE),,POINT (-73.199761104 41.164585533)
218508,2021,09/30/2022,Middletown,47 DAVID DR,206060.00,410000.00,0.5025,Residential,Single Family,,,,POINT (-72.643898992 41.520082011)
2100226,2021,07/11/2022,New Fairfield,8 JOELS DR,180700.00,530000.00,0.340943396,Residential,Single Family,07 - Change in Property,,TOTAL RENOVATION PER MLS - SEE PREVIOUS SALE #210007,POINT (-73.502283997 41.479901011)
210042,2021,11/15/2021,East Hampton,13 OAK KNOLL RD,122930.00,259000.00,0.474633205,Residential,Single Family,,,,POINT (-72.508006968 41.578288)
211162,2021,03/17/2022,Bridgeport,26 OVERLAND AVE,171440.00,190000.00,0.9023,Residential,Single Family,,,,POINT (-73.208487981 41.216179012)
2100221,2021,01/18/2022,Naugatuck,41 PONDVIEW DR,157630.00,310000.00,0.5084,Residential,Single Family,,,,POINT (-73.033263959 41.512428998)
210414,2021,01/11/2022,Bristol,57 HARDWICK RD,117180.00,190900.00,0.61382923,Residential,Single Family,,,GOOD SALE PER MLS,POINT (-72.906194978 41.684592996)
210147,2021,04/13/2022,Ellington,5 ROTHE LN,248800.00,458000.00,0.5432,Residential,Single Family,,,,POINT (-72.508358002 41.869868008)
210167,2021,05/18/2022,Coventry,34 APPIAN WAY,319600.00,690000.00,0.4631,Residential,Single Family,,,,POINT (-72.378473958 41.808133992)
2100182,2021,12/21/2021,Naugatuck,129 PHOENIX AVENUE,117970.00,239900.00,0.4917,Residential,Single Family,,,,POINT (-73.046575008 41.492702985)
210157,2021,11/17/2021,Harwinton,228 BIRGE PARK RD,166490.00,220000.00,0.7567,Residential,Single Family,,,,POINT (-73.072139981 41.784990007)
